Cat logo de productos / servicios.,,,,,,,,
Fecha inicio de vigencia,Fecha fin de vigencia,Versi¢n,Revisi¢n,,,,,
01/01/2017,,1.0,0,,,,,
,,,,,,,,
c_ClaveProdServ,Descripci¢n,FechaInicioVigencia,FechaFinVigencia,Incluir IVA trasladado,Incluir IEPS trasladado,Complemento que debe incluir,,
01010101,No existe en el cat logo,01/10/2016,,Opcional,No,,,
10101500,Animales vivos de granja,01/10/2016,,Opcional,No,,,
10101501,Gatos vivos,01/10/2016,,Opcional,No,,,
10101502,Perros,01/10/2016,,Opcional,No,,,
10101504,Vis¢n,01/10/2016,,Opcional,No,,,
10101505,Ratas,01/10/2016,,Opcional,No,,,
10101506,Caballos,01/10/2016,,Opcional,No,,,
10101507,Ovejas,01/10/2016,,Opcional,No,,,
10101508,Cabras,01/10/2016,,Opcional,No,,,
10101509,Asnos,01/10/2016,,Opcional,No,,,
10101510,Ratones,01/10/2016,,Opcional,No,,,
10101511,Cerdos,01/10/2016,,Opcional,No,,,
10101512,Conejos,01/10/2016,,Opcional,No,,,
10101513,Cobayas o conejillos de indias,01/10/2016,,Opcional,No,,,
10101514,Primates,01/10/2016,,Opcional,No,,,
10101515,Armadillos,01/10/2016,,Opcional,No,,,
10101516,Ganado vacuno,01/10/2016,,Opcional,No,,,
10101517,Camellos,01/10/2016,,Opcional,No,,,
10101600,P jaros y aves de corral vivos,01/10/2016,,Opcional,No,,,
10101601,Pollos vivos,01/10/2016,,Opcional,No,,,
10101602,Patos vivos,01/10/2016,,Opcional,No,,,
10101603,Pavos vivos,01/10/2016,,Opcional,No,,,
10101604,Gansos vivos,01/10/2016,,Opcional,No,,,
10101605,Faisanes vivos,01/10/2016,,Opcional,No,,,
10101700,Peces vivos,01/10/2016,,Opcional,No,,,
10101701,Salmones vivos,01/10/2016,,Opcional,No,,,
10101702,Trucha viva,01/10/2016,,Opcional,No,,,
10101703,Tilapia viva,01/10/2016,,Opcional,No,,,
10101704,Carpa viva,01/10/2016,,Opcional,No,,,
10101705,Anguilas vivas,01/10/2016,,Opcional,No,,,
10101800,Mariscos e invertebrados acu ticos vivos,01/10/2016,,Opcional,No,,,
10101801,Camar¢n vivo,01/10/2016,,Opcional,No,,,
10101802,Almejas vivas,01/10/2016,,Opcional,No,,,
10101803,Mejillones vivos,01/10/2016,,Opcional,No,,,
10101804,Ostras vivas,01/10/2016,,Opcional,No,,,
10101805,Cangrejos vivos,01/10/2016,,Opcional,No,,,
10101806,Abulones vivos,01/10/2016,,Opcional,No,,,
10101807,Pulpo vivo,01/10/2016,,Opcional,No,,,
10101808,Calamar vivo,01/10/2016,,Opcional,No,,,
10101809,Sanguijuelas,01/10/2016,,Opcional,No,,,
10101900,Insectos vivos,01/10/2016,,Opcional,No,,,
10101901,Mariposas,01/10/2016,,Opcional,No,,,
10101902,Escarabajos,01/10/2016,,Opcional,No,,,
10101903,Abejas,01/10/2016,,Opcional,No,,,
10101904,Gusanos de seda,01/10/2016,,Opcional,No,,,
10102000,Animales salvajes vivos,01/10/2016,,Opcional,No,,,
10102001,Elefantes,01/10/2016,,Opcional,No,,,
10102002,Zorros vivos,01/10/2016,,Opcional,No,,,
10102100,Huevos de aves para incubar,01/10/2016,,Opcional,No,,,
10111300,"Accesorios, equipo y tratamientos para los animales dom‚sticos",01/10/2016,,Opcional,No,,,
10111301,Juguetes para mascotas,01/10/2016,,Opcional,No,,,
10111302,Productos para el aseo y cuidado de mascotas,01/10/2016,,Opcional,No,,,
10111303,Equipo para el manejo de desperdicios de las mascotas,01/10/2016,,Opcional,No,,,
10111304,Tazones o equipo para alimentaci¢n de mascotas,01/10/2016,,Opcional,No,,,
10111305,Tratamientos medicados para mascotas,01/10/2016,,Opcional,No,,,
10111306,Kits para el entrenamiento de mascotas dom‚sticas,01/10/2016,,Opcional,No,,,
10111307,Cobijas para mascotas,01/10/2016,,Opcional,No,,,
10121500,Pienso para ganado,01/10/2016,,Opcional,No,,,
10121501,Salvado de trigo puro,01/10/2016,,Opcional,No,,,
10121502,Avena para forraje,01/10/2016,,Opcional,No,,,
10121503,Ma¡z para forraje,01/10/2016,,Opcional,No,,,
10121504,Sorgo para forraje,01/10/2016,,Opcional,No,,,
10121505,Heno,01/10/2016,,Opcional,No,,,
10121506,Tortas oleaginosas,01/10/2016,,Opcional,No,,,
10121507,Forraje compuesto,01/10/2016,,Opcional,No,,,
10121600,Alimento para p jaros y aves de corral,01/10/2016,,Opcional,No,,,
10121601,Alimento vivo para aves,01/10/2016,,Opcional,No,,,
10121602,Alpiste,01/10/2016,,Opcional,No,,,
10121603,Botanas o comida recreacional para aves,01/10/2016,,Opcional,No,,,
10121604,Alimento av¡cola,01/10/2016,,Opcional,No,,,
10121700,Alimento para peces,01/10/2016,,Opcional,No,,,
10121701,Salmuera fresca o congelada,01/10/2016,,Opcional,No,,,
10121702,Alimento granulado para peces,01/10/2016,,Opcional,No,,,
10121703,Alimento en hojuelas para peces,01/10/2016,,Opcional,No,,,
10121800,Alimento para perros y gatos,01/10/2016,,Opcional,No,,,
10121801,Comida seca para perros,01/10/2016,,Opcional,No,,,
10121802,Comida h£meda para perros,01/10/2016,,Opcional,No,,,
10121803,Leche para perros o gatos,01/10/2016,,Opcional,No,,,
10121804,Comida seca para gatos,01/10/2016,,Opcional,No,,,
10121805,Comida h£meda para gatos,01/10/2016,,Opcional,No,,,
10121806,Botanas o comida recreacional para gatos o perros,01/10/2016,,Opcional,No,,,
10121900,Alimento para roedores,01/10/2016,,Opcional,No,,,
10121901,Comida granulada para roedores,01/10/2016,,Opcional,No,,,
10122000,Alimento para reptiles,01/10/2016,,Opcional,No,,,
10122001,Comida granulada para reptiles,01/10/2016,,Opcional,No,,,
10122002,Comida h£meda para reptiles,01/10/2016,,Opcional,No,,,
10122003,Comida viva para reptiles,01/10/2016,,Opcional,No,,,
10122100,Comida para animales variados,01/10/2016,,Opcional,No,,,
10122101,Comida para cerdos,01/10/2016,,Opcional,No,,,
10122102,Comida para visones,01/10/2016,,Opcional,No,,,
10122103,Comida para monos,01/10/2016,,Opcional,No,,,
10122104,Comida para conejos,01/10/2016,,Opcional,No,,,
10131500,Cobertizos para animales,01/10/2016,,Opcional,No,,,
10131506,Establos para ganado,01/10/2016,,Opcional,No,,,
10131507,Casas para mascotas domesticadas,01/10/2016,,Opcional,No,,,
10131508,Camas para mascotas,01/10/2016,,Opcional,No,,,
10131600,Recipientes para animales,01/10/2016,,Opcional,No,,,
10131601,Jaulas o sus accesorios,01/10/2016,,Opcional,No,,,
10131602,Perreras,01/10/2016,,Opcional,No,,,
10131603,Equipaje para el transporte de animales,01/10/2016,,Opcional,No,,,
10131604,Correas para perros,01/10/2016,,Opcional,No,,,
10131700,H bitat para animales,01/10/2016,,Opcional,No,,,
10131701,Terrarios,01/10/2016,,Opcional,No,,,
10131702,Acuarios,01/10/2016,,Opcional,No,,,
10141500,Talabarter¡a,01/10/2016,,Opcional,No,,,
10141501,Sillas de montar,01/10/2016,,Opcional,No,,,
10141502,Fustas y l tigos,01/10/2016,,Opcional,No,,,
10141503,Herraduras para caballo,01/10/2016,,Opcional,No,,,
10141504,Herraduras para mula,01/10/2016,,Opcional,No,,,
10141505,Sill¡n o pelero,01/10/2016,,Opcional,No,,,
10141600,Arneses,01/10/2016,,Opcional,No,,,
10141601,Bridas,01/10/2016,,Opcional,No,,,
10141602,Yugos,01/10/2016,,Opcional,No,,,
10141603,Bocados para caballos,01/10/2016,,Opcional,No,,,
10141604,Riendas,01/10/2016,,Opcional,No,,,
10141605,Estribos,01/10/2016,,Opcional,No,,,
10141606,Correas o tra¡llas,01/10/2016,,Opcional,No,,,
10141607,Arneses de cuello para animales,01/10/2016,,Opcional,No,,,
10141608,Arneses o sus accesorios,01/10/2016,,Opcional,No,,,
10141609,Sujetadores,01/10/2016,,Opcional,No,,,
10141610,Bozales,01/10/2016,,Opcional,No,,,
10141611,Soportes para correas,01/10/2016,,Opcional,No,,,
