c_ClaveProdServ,Descripción,Fecha Inicio Vigencia,Fecha Fin Vigencia,Incluir IVA trasladado,Incluir IEPS trasladado
1010101,No existe en el catálogo,10/1/2016,,Opcional,No
10101500,Animales vivos de granja,10/1/2016,,Opcional,No
10101501,Gatos vivos,10/1/2016,,Opcional,No
10101502,Perros,10/1/2016,,Opcional,No
10101504,Visón,10/1/2016,,Opcional,No
10101505,Ratas,10/1/2016,,Opcional,No
10101506,Caballos,10/1/2016,,Opcional,No
10101507,Ovejas,10/1/2016,,Opcional,No
10101508,Cabras,10/1/2016,,Opcional,No
10101509,Asnos,10/1/2016,,Opcional,No
10101510,Ratones,10/1/2016,,Opcional,No
10101511,Cerdos,10/1/2016,,Opcional,No
10101512,Conejos,10/1/2016,,Opcional,No
10101513,Cobayas o conejillos de indias,10/1/2016,,Opcional,No
10101514,Primates,10/1/2016,,Opcional,No
10101515,Armadillos,10/1/2016,,Opcional,No
10101516,Ganado vacuno,10/1/2016,,Opcional,No
10101517,Camellos,10/1/2016,,Opcional,No
10101600,Pájaros y aves de corral vivos,10/1/2016,,Opcional,No
10101601,Pollos vivos,10/1/2016,,Opcional,No
10101602,Patos vivos,10/1/2016,,Opcional,No
10101603,Pavos vivos,10/1/2016,,Opcional,No
10101604,Gansos vivos,10/1/2016,,Opcional,No
10101605,Faisanes vivos,10/1/2016,,Opcional,No
10101700,Peces vivos,10/1/2016,,Opcional,No
10101701,Salmones vivos,10/1/2016,,Opcional,No
10101702,Trucha viva,10/1/2016,,Opcional,No
10101703,Tilapia viva,10/1/2016,,Opcional,No
10101704,Carpa viva,10/1/2016,,Opcional,No
10101705,Anguilas vivas,10/1/2016,,Opcional,No
10101800,Mariscos e invertebrados acuáticos vivos,10/1/2016,,Opcional,No
10101801,Camarón vivo,10/1/2016,,Opcional,No
10101802,Almejas vivas,10/1/2016,,Opcional,No
10101803,Mejillones vivos,10/1/2016,,Opcional,No
10101804,Ostras vivas,10/1/2016,,Opcional,No
10101805,Cangrejos vivos,10/1/2016,,Opcional,No
10101806,Abulones vivos,10/1/2016,,Opcional,No
10101807,Pulpo vivo,10/1/2016,,Opcional,No
10101808,Calamar vivo,10/1/2016,,Opcional,No
10101809,Sanguijuelas,10/1/2016,,Opcional,No
10101900,Insectos vivos,10/1/2016,,Opcional,No
10101901,Mariposas,10/1/2016,,Opcional,No
10101902,Escarabajos,10/1/2016,,Opcional,No
10101903,Abejas,10/1/2016,,Opcional,No
10101904,Gusanos de seda,10/1/2016,,Opcional,No
10102000,Animales salvajes vivos,10/1/2016,,Opcional,No
10102001,Elefantes,10/1/2016,,Opcional,No
10102002,Zorros vivos,10/1/2016,,Opcional,No
10102100,Huevos de aves para incubar,10/1/2016,,Opcional,No
10111300,"Accesorios, equipo y tratamientos para los animales domésticos",10/1/2016,,Opcional,No
10111301,Juguetes para mascotas,10/1/2016,,Opcional,No
10111302,Productos para el aseo y cuidado de mascotas,10/1/2016,,Opcional,No
10111303,Equipo para el manejo de desperdicios de las mascotas,10/1/2016,,Opcional,No
10111304,Tazones o equipo para alimentación de mascotas,10/1/2016,,Opcional,No
10111305,Tratamientos medicados para mascotas,10/1/2016,,Opcional,No
10111306,Kits para el entrenamiento de mascotas domésticas,10/1/2016,,Opcional,No
10111307,Cobijas para mascotas,10/1/2016,,Opcional,No
10121500,Pienso para ganado,10/1/2016,,Opcional,No
10121501,Salvado de trigo puro,10/1/2016,,Opcional,No
10121502,Avena para forraje,10/1/2016,,Opcional,No
10121503,Maíz para forraje,10/1/2016,,Opcional,No
10121504,Sorgo para forraje,10/1/2016,,Opcional,No
10121505,Heno,10/1/2016,,Opcional,No
10121506,Tortas oleaginosas,10/1/2016,,Opcional,No
10121507,Forraje compuesto,10/1/2016,,Opcional,No
10121600,Alimento para pájaros y aves de corral,10/1/2016,,Opcional,No
10121601,Alimento vivo para aves,10/1/2016,,Opcional,No
10121602,Alpiste,10/1/2016,,Opcional,No
10121603,Botanas o comida recreacional para aves,10/1/2016,,Opcional,No
10121604,Alimento avícola,10/1/2016,,Opcional,No
10121700,Alimento para peces,10/1/2016,,Opcional,No
10121701,Salmuera fresca o congelada,10/1/2016,,Opcional,No
10121702,Alimento granulado para peces,10/1/2016,,Opcional,No
10121703,Alimento en hojuelas para peces,10/1/2016,,Opcional,No
10121800,Alimento para perros y gatos,10/1/2016,,Opcional,No
10121801,Comida seca para perros,10/1/2016,,Opcional,No
10121802,Comida húmeda para perros,10/1/2016,,Opcional,No
10121803,Leche para perros o gatos,10/1/2016,,Opcional,No
10121804,Comida seca para gatos,10/1/2016,,Opcional,No
10121805,Comida húmeda para gatos,10/1/2016,,Opcional,No
10121806,Botanas o comida recreacional para gatos o perros,10/1/2016,,Opcional,No
10121900,Alimento para roedores,10/1/2016,,Opcional,No
10121901,Comida granulada para roedores,10/1/2016,,Opcional,No
10122000,Alimento para reptiles,10/1/2016,,Opcional,No
10122001,Comida granulada para reptiles,10/1/2016,,Opcional,No
10122002,Comida húmeda para reptiles,10/1/2016,,Opcional,No
10122003,Comida viva para reptiles,10/1/2016,,Opcional,No
10122100,Comida para animales variados,10/1/2016,,Opcional,No
10122101,Comida para cerdos,10/1/2016,,Opcional,No
10122102,Comida para visones,10/1/2016,,Opcional,No
10122103,Comida para monos,10/1/2016,,Opcional,No
10122104,Comida para conejos,10/1/2016,,Opcional,No
10131500,Cobertizos para animales,10/1/2016,,Opcional,No
10131506,Establos para ganado,10/1/2016,,Opcional,No
10131507,Casas para mascotas domesticadas,10/1/2016,,Opcional,No
10131508,Camas para mascotas,10/1/2016,,Opcional,No
10131600,Recipientes para animales,10/1/2016,,Opcional,No
10131601,Jaulas o sus accesorios,10/1/2016,,Opcional,No
10131602,Perreras,10/1/2016,,Opcional,No
10131603,Equipaje para el transporte de animales,10/1/2016,,Opcional,No
10131604,Correas para perros,10/1/2016,,Opcional,No
10131700,Hábitat para animales,10/1/2016,,Opcional,No
10131701,Terrarios,10/1/2016,,Opcional,No
10131702,Acuarios,10/1/2016,,Opcional,No
10141500,Talabartería,10/1/2016,,Opcional,No
10141501,Sillas de montar,10/1/2016,,Opcional,No
10141502,Fustas y látigos,10/1/2016,,Opcional,No
10141503,Herraduras para caballo,10/1/2016,,Opcional,No
10141504,Herraduras para mula,10/1/2016,,Opcional,No
10141505,Sillín o pelero,10/1/2016,,Opcional,No
10141600,Arneses,10/1/2016,,Opcional,No
10141601,Bridas,10/1/2016,,Opcional,No
10141602,Yugos,10/1/2016,,Opcional,No
10141603,Bocados para caballos,10/1/2016,,Opcional,No
10141604,Riendas,10/1/2016,,Opcional,No
10141605,Estribos,10/1/2016,,Opcional,No
10141606,Correas o traíllas,10/1/2016,,Opcional,No
10141607,Arneses de cuello para animales,10/1/2016,,Opcional,No
10141608,Arneses o sus accesorios,10/1/2016,,Opcional,No
10141609,Sujetadores,10/1/2016,,Opcional,No
10141610,Bozales,10/1/2016,,Opcional,No
10141611,Soportes para correas,10/1/2016,,Opcional,No
10151500,Semillas y plántulas vegetales,10/1/2016,,Opcional,No
10151501,Semillas o plántulas de fríjol,10/1/2016,,Opcional,No
10151502,Semillas o plántulas de zanahoria,10/1/2016,,Opcional,No
10151503,Semillas o plántulas de apio,10/1/2016,,Opcional,No
10151504,Semillas o plántulas de chiles,10/1/2016,,Opcional,No
10151505,Semillas o plántulas de calabacín,10/1/2016,,Opcional,No
10151506,Semillas o plántulas de alverja,10/1/2016,,Opcional,No
10151507,Semillas o plántulas de pepino cohombro,10/1/2016,,Opcional,No
10151508,Semillas o plántulas de berenjena,10/1/2016,,Opcional,No
10151509,Semillas o plántulas de endivias,10/1/2016,,Opcional,No
10151510,Semillas o plántulas de ajo,10/1/2016,,Opcional,No
10151511,Semillas o plántulas de puerro,10/1/2016,,Opcional,No
10151512,Semillas o plántulas de lechuga,10/1/2016,,Opcional,No
10151513,Semillas o plántulas de maíz,10/1/2016,,Opcional,No
10151514,Semillas o plántulas de melón,10/1/2016,,Opcional,No
10151515,Semillas o plántulas cebolla,10/1/2016,,Opcional,No
10151516,Semillas o plántulas de soya,10/1/2016,,Opcional,No
10151517,Semillas o plántulas de espinaca,10/1/2016,,Opcional,No
10151518,Semillas o plántulas de tomate,10/1/2016,,Opcional,No
10151519,Semillas o plántulas de nabo,10/1/2016,,Opcional,No
10151520,Semillas o plántulas de acelga,10/1/2016,,Opcional,No
10151521,Semillas o plántulas de pimiento morrón,10/1/2016,,Opcional,No
10151522,Semillas o plántulas de remolacha,10/1/2016,,Opcional,No
10151523,Semillas o plántulas de coliflor,10/1/2016,,Opcional,No
10151524,Semillas o plántulas de perejil,10/1/2016,,Opcional,No
10151525,Semillas o plántulas de brócoli,10/1/2016,,Opcional,No
10151526,Semillas o plántulas de repollo,10/1/2016,,Opcional,No
10151527,Semillas o plántulas de papa,10/1/2016,,Opcional,No
10151528,Semillas o plántulas de batata,10/1/2016,,Opcional,No
10151529,Semillas o plántulas de calabaza,10/1/2016,,Opcional,No
10151530,Semillas o plántulas de rábano,10/1/2016,,Opcional,No
10151531,Semillas o plántulas de repollitos de bruselas,10/1/2016,,Opcional,No
10151532,Semillas o plántulas de ahuyama,10/1/2016,,Opcional,No
10151533,Semillas o plántulas de okra,10/1/2016,,Opcional,No
10151534,Semillas o plántulas de melón cantalupo,10/1/2016,,Opcional,No
10151535,Semillas o plántulas de maní,10/1/2016,,Opcional,No
10151536,Semillas o plántulas de caigua,10/1/2016,,Opcional,No
10151537,Semillas o plántulas de espárrago,10/1/2016,,Opcional,No
10151538,Semillas o plántulas de garbanzo,10/1/2016,,Opcional,No
10151539,Semillas o plántulas de haba,10/1/2016,,Opcional,No
10151600,Semillas de cereales,10/1/2016,,Opcional,No
10151601,Semillas de trigo,10/1/2016,,Opcional,No
10151602,Semillas de canola,10/1/2016,,Opcional,No
10151603,Semillas de cebada,10/1/2016,,Opcional,No
10151604,Semillas de mijo,10/1/2016,,Opcional,No
10151605,Semillas de avena,10/1/2016,,Opcional,No
10151606,Semillas de ajonjolí,10/1/2016,,Opcional,No
10151607,Semillas de linaza,10/1/2016,,Opcional,No
10151608,Semillas de aceite de ricino,10/1/2016,,Opcional,No
10151609,Semillas de maíz,10/1/2016,,Opcional,No
10151610,Semillas de centeno,10/1/2016,,Opcional,No
10151611,Semillas de sorgo,10/1/2016,,Opcional,No
10151612,Semillas o plántulas de kiwicha,10/1/2016,,Opcional,No
10151613,Semillas o plántulas de quínoa,10/1/2016,,Opcional,No
10151700,Semillas y plántulas de hierba y forraje,10/1/2016,,Opcional,No
10151701,Semillas o plántulas de arroz,10/1/2016,,Opcional,No
10151702,Semillas o plántulas de trébol,10/1/2016,,Opcional,No
10151703,Semillas o plántulas de alfalfa,10/1/2016,,Opcional,No
10151704,Semillas o plántulas de pasto,10/1/2016,,Opcional,No
10151705,Semillas o plántulas de veza (gachas / guija),10/1/2016,,Opcional,No
10151706,Semillas o plántulas de guar,10/1/2016,,Opcional,No
10151800,Semillas y plántulas de especias,10/1/2016,,Opcional,No
10151801,Semillas o plántulas de pimienta,10/1/2016,,Opcional,No
10151802,Semillas o plántulas de vainilla,10/1/2016,,Opcional,No
10151803,Semillas o plántulas de canela,10/1/2016,,Opcional,No
10151804,Semillas o plántulas de clavo de olor,10/1/2016,,Opcional,No
10151805,Semillas o plántulas de cilantro,10/1/2016,,Opcional,No
10151806,Semillas o plántulas de jengibre,10/1/2016,,Opcional,No
10151807,Semillas o plántulas de azafrán,10/1/2016,,Opcional,No
10151808,Semillas o plántulas de tomillo,10/1/2016,,Opcional,No
10151809,Semillas o plántulas de curry,10/1/2016,,Opcional,No
10151810,Semillas o plántulas de mostaza,10/1/2016,,Opcional,No
10151811,Semillas o plántulas de ginseng,10/1/2016,,Opcional,No
10151812,Semillas o plántulas de champiñones,10/1/2016,,Opcional,No
10151813,Semillas o plántulas de sacha inchi,10/1/2016,,Opcional,No
10151814,Semillas o plántulas de achiote,10/1/2016,,Opcional,No
10151815,Semillas o plántulas de kudzu,10/1/2016,,Opcional,No
10151816,Semillas o plántulas de albahaca,10/1/2016,,Opcional,No
10151817,Semillas o plántulas de anís,10/1/2016,,Opcional,No
10151900,"Semillas, bulbos, plántulas y esquejes de flores",10/1/2016,,Opcional,No
10151901,"Semillas, bulbos, plántulas o esquejes de tulipán",10/1/2016,,Opcional,No
10151902,"Semillas, plántulas o esquejes de rosa",10/1/2016,,Opcional,No
10151903,"Semillas, bulbos, plántulas o esquejes de narciso",10/1/2016,,Opcional,No
10151904,Semillas de girasol,10/1/2016,,Opcional,No
10151905,Bulbos o tallos de jacinto,10/1/2016,,Opcional,No
10151906,Bulbos de lirio,10/1/2016,,Opcional,No
10151907,Semillas o plántulas de veza,10/1/2016,,Opcional,No
10152000,Semillas y esquejes de árboles y arbustos,10/1/2016,,Opcional,No
10152001,Semillas o esquejes de árboles frutales,10/1/2016,,Opcional,No
10152002,Semillas o esquejes de coníferas,10/1/2016,,Opcional,No
10152003,Semillas o esquejes de árboles de frutos secos,10/1/2016,,Opcional,No
10152004,Plántulas de latifoliados,10/1/2016,,Opcional,No
10152005,Plántulas de coníferas,10/1/2016,,Opcional,No
10152006,Semillas o yemas de pino,10/1/2016,,Opcional,No
10152007,Semillas o yemas de algarrobo,10/1/2016,,Opcional,No
10152100,Residuos que no sean de piensos,10/1/2016,,Opcional,No
10152101,Extracción de los residuos de semilla de babool,10/1/2016,,Opcional,No
10152102,Residuos de semilla de colza,10/1/2016,,Opcional,No
10152103,Residuo de semillas de linaza,10/1/2016,,Opcional,No
10152104,Torta de neem,10/1/2016,,Opcional,No
10152200,Semillas de cultivos fibrosos y semilleros,10/1/2016,,Opcional,No
10152201,Semillas o plántulas de algodón,10/1/2016,,Opcional,No
10152202,Semillas o plántulas de lino,10/1/2016,,Opcional,No
10152300,Plántulas y semillas de leguminosas,10/1/2016,,Opcional,No
10152400,Plántulas y semillas de tubérculos,10/1/2016,,Opcional,No
10161500,Árboles y arbustos,10/1/2016,,Opcional,No
10161501,Aceitunos,10/1/2016,,Opcional,No
10161502,Cafetos,10/1/2016,,Opcional,No
10161503,Cacaoteros,10/1/2016,,Opcional,No
10161504,Manzanos,10/1/2016,,Opcional,No
10161505,Peros,10/1/2016,,Opcional,No
10161506,Naranjos,10/1/2016,,Opcional,No
10161507,Rododendros,10/1/2016,,Opcional,No
10161508,Plantas de te,10/1/2016,,Opcional,No
10161509,Coníferas,10/1/2016,,Opcional,No
10161510,Abetos rojos (píceas),10/1/2016,,Opcional,No
10161511,Pinos,10/1/2016,,Opcional,No
10161512,Abetos,10/1/2016,,Opcional,No
10161513,Palmeras,10/1/2016,,Opcional,No
10161514,Casuarina,10/1/2016,,Opcional,No
10161515,Ciprés,10/1/2016,,Opcional,No
10161516,Eucalipto,10/1/2016,,Opcional,No
10161517,Árbol de quinua,10/1/2016,,Opcional,No
10161518,Magnolio,10/1/2016,,Opcional,No
10161519,Mioporo,10/1/2016,,Opcional,No
10161520,Acalifa,10/1/2016,,Opcional,No
